DT_REFE,QT_CORR,QT_CORR_NEG,QT_CORR_PESS,VL_MAX_DIST,VL_MIN_DIST,VL_AVG_DIST,QT_CORR_REUNI,QT_CORR_NAO_REUNI
2016-01-01,1,1,0,51,51,51.0,0,1
2016-01-02,2,2,0,48,5,26.5,0,1
2016-01-05,1,1,0,47,47,47.0,1,0
2016-01-06,3,3,0,637,43,250.3,1,2
2016-01-07,1,1,0,8,8,8.0,1,0
2016-01-10,5,5,0,165,62,98.6,4,1
2016-01-11,3,3,0,19,16,17.3,0,3
2016-01-12,6,6,0,151,2,36.3,1,5
2016-01-13,4,4,0,219,39,122.0,2,2
2016-01-15,3,3,0,104,8,72.0,0,3
2016-01-18,2,2,0,48,47,47.5,0,2
2016-01-19,1,1,0,72,72,72.0,0,0
2016-01-20,3,3,0,402,151,241.3,2,1
2016-01-21,3,3,0,24,1,13.7,0,3
2016-01-26,5,5,0,23,2,12.6,0,5
2016-01-27,5,5,0,187,18,79.0,1,4
2016-01-28,3,3,0,157,19,107.7,2,1
2016-01-29,6,6,0,104,46,69.3,3,3
2016-01-30,2,2,0,57,57,57.0,0,2
2016-02-01,3,3,0,233,39,155.3,0,3
2016-02-02,3,3,0,83,6,35.0,1,2
2016-02-04,7,7,0,97,9,39.7,2,5
2016-02-05,2,2,0,104,104,104.0,2,0
2016-02-06,3,3,0,114,9,51.7,0,3
2016-02-07,4,4,0,61,56,58.8,1,3
2016-02-08,2,2,0,43,27,35.0,0,2
2016-02-09,6,2,4,61,3,40.7,0,1
2016-02-11,4,4,0,173,57,106.5,0,4
2016-02-12,6,6,0,115,17,57.5,2,4
2016-02-13,7,5,2,139,2,52.7,5,0
2016-02-16,9,9,0,437,6,81.9,0,4
2016-02-17,4,4,0,214,5,95.8,0,4
2016-02-18,5,5,0,235,6,86.0,1,4
2016-02-19,10,6,4,183,1,69.8,3,1
2016-02-20,8,4,4,231,3,106.4,1,2
2016-02-21,11,11,0,227,13,76.9,1,8
2016-02-22,1,1,0,81,81,81.0,0,1
2016-02-24,2,2,0,17,15,16.0,0,1
2016-02-25,4,4,0,58,6,31.8,0,4
2016-02-26,7,3,4,106,2,49.7,2,0
2016-02-28,2,2,0,77,68,72.5,2,0
2016-02-29,5,4,1,66,21,41.4,2,1
2016-03-01,2,2,0,8,8,8.0,1,1
2016-03-03,5,4,1,173,22,69.2,1,3
2016-03-04,10,10,0,157,2,78.1,4,6
2016-03-05,6,4,2,78,35,56.2,0,4
2016-03-07,5,5,0,124,28,84.8,1,4
2016-03-08,3,2,1,76,16,54.7,0,2
2016-03-10,4,4,0,128,16,62.8,2,0
2016-03-11,5,5,0,21,1,8.8,0,1
2016-03-12,2,1,1,22,19,20.5,0,0
2016-03-13,6,6,0,125,57,84.2,0,5
2016-03-14,2,2,0,27,2,14.5,0,1
2016-03-15,2,2,0,28,2,15.0,0,2
2016-03-16,3,3,0,21,2,13.3,0,2
2016-03-17,7,3,4,302,17,127.0,1,2
2016-03-18,5,5,0,132,1,49.4,1,4
2016-03-19,9,9,0,365,12,113.1,1,7
2016-03-20,5,4,1,104,12,66.6,2,1
2016-03-21,4,3,1,256,1,88.5,0,2
2016-03-22,3,1,2,81,14,39.3,0,1
2016-03-23,2,0,2,17,16,16.5,0,0
2016-03-24,2,1,1,22,2,12.0,0,0
2016-03-25,3,3,0,3103,144,1149.3,1,2
2016-03-26,3,0,3,88,12,55.7,0,0
2016-03-27,5,3,2,73,21,58.0,0,3
2016-03-28,3,0,3,272,36,188.3,0,0
2016-03-29,4,0,4,138,6,85.5,0,0
2016-03-30,1,1,0,288,288,288.0,0,1
2016-03-31,2,2,0,164,161,162.5,0,2
2016-04-01,4,3,1,203,7,94.0,2,1
2016-04-02,6,4,2,1742,51,595.0,1,3
2016-04-03,1,1,0,1593,1593,1593.0,1,0
2016-04-05,1,1,0,79,79,79.0,0,1
2016-04-06,1,1,0,8,8,8.0,0,1
2016-04-07,2,2,0,61,61,61.0,0,2
2016-04-08,5,5,0,191,18,117.4,3,2
2016-04-12,5,5,0,159,28,83.2,2,3
2016-04-14,2,2,0,153,137,145.0,0,2
2016-04-15,3,3,0,152,14,95.0,1,2
2016-04-16,2,2,0,61,6,33.5,0,2
2016-04-19,2,2,0,82,8,45.0,0,2
2016-04-22,4,4,0,225,10,118.8,4,0
2016-04-23,2,2,0,65,6,35.5,0,2
2016-04-24,3,3,0,42,19,30.7,0,3
2016-04-27,2,2,0,49,48,48.5,0,2
2016-04-28,3,3,0,328,55,169.0,0,3
2016-04-29,4,4,0,182,10,108.2,3,1
2016-04-30,2,2,0,77,68,72.5,0,1
2016-05-01,5,5,0,75,21,42.4,1,3
2016-05-02,2,2,0,39,22,30.5,0,2
2016-05-03,1,1,0,25,25,25.0,0,1
2016-05-04,4,4,0,145,5,70.5,0,4
2016-05-05,3,3,0,142,29,100.0,1,2
2016-05-06,3,3,0,144,17,80.0,2,1
2016-05-09,4,4,0,205,84,140.8,0,4
2016-05-10,2,2,0,93,79,86.0,0,2
2016-05-11,2,2,0,256,81,168.5,2,0
2016-05-14,6,6,0,116,31,70.0,2,3
2016-05-15,5,4,1,124,15,55.4,0,4
2016-05-16,5,5,0,145,15,90.4,0,0
2016-05-17,4,4,0,122,19,49.0,0,3
2016-05-18,3,3,0,87,76,82.3,0,2
2016-05-19,3,3,0,59,6,31.3,0,1
2016-05-20,2,2,0,112,82,97.0,1,1
2016-05-22,2,2,0,25,3,14.0,0,2
2016-05-23,2,2,0,36,36,36.0,0,2
2016-05-27,3,3,0,45,12,24.7,0,2
2016-05-28,3,3,0,113,47,73.7,0,3
2016-05-31,3,3,0,149,14,60.3,2,0
2016-06-01,2,2,0,96,67,81.5,1,1
2016-06-03,7,7,0,104,4,42.0,2,5
2016-06-05,6,6,0,99,25,69.5,2,4
2016-06-06,6,6,0,104,3,59.8,2,4
2016-06-07,2,2,0,104,99,101.5,2,0
2016-06-08,8,8,0,223,5,54.6,0,8
2016-06-10,3,3,0,163,99,122.0,3,0
2016-06-11,5,5,0,104,17,60.6,2,2
2016-06-12,3,3,0,43,25,32.0,0,3
2016-06-13,5,5,0,132,39,71.6,1,4
2016-06-21,2,2,0,193,166,179.5,0,1
2016-06-24,7,7,0,128,9,61.4,0,6
2016-06-25,8,8,0,155,11,49.2,2,3
2016-06-26,4,4,0,126,13,52.2,1,0
2016-06-27,11,11,0,469,1,79.6,0,0
2016-06-28,4,4,0,104,82,96.0,3,1
2016-06-29,6,6,0,104,16,64.0,2,0
2016-06-30,1,1,0,99,99,99.0,1,0
2016-07-01,5,5,0,133,99,109.8,5,0
2016-07-02,2,2,0,101,99,100.0,2,0
2016-07-03,3,3,0,99,31,53.7,1,2
2016-07-04,4,4,0,118,87,98.0,3,1
2016-07-05,5,5,0,99,6,60.4,1,2
2016-07-06,5,5,0,99,31,65.0,1,3
2016-07-07,3,3,0,128,79,98.7,0,1
2016-07-08,4,4,0,132,7,85.2,0,0
2016-07-09,3,3,0,85,13,49.0,0,0
2016-07-10,4,4,0,136,13,75.2,0,0
2016-07-12,3,1,2,123,14,74.7,0,0
2016-07-13,3,0,3,235,22,100.3,0,0
2016-07-14,3,2,1,1953,33,701.3,0,1
2016-07-15,5,0,5,224,32,101.2,0,0
2016-07-16,6,1,5,419,13,172.2,0,1
2016-07-17,2,0,2,1802,151,976.5,0,2
2016-07-18,9,5,4,72,9,43.2,1,8
2016-07-19,5,4,1,87,3,48.2,1,3
2016-07-20,3,0,3,28,14,18.7,0,0
2016-07-21,4,4,0,37,23,29.0,0,0
2016-07-22,8,8,0,122,8,59.8,1,1
2016-07-23,6,6,0,104,3,61.3,2,0
2016-07-25,4,4,0,79,15,40.0,0,0
2016-07-26,4,4,0,25,21,23.2,0,2
2016-07-27,3,3,0,147,28,107.0,0,0
2016-07-28,1,1,0,23,23,23.0,0,0
2016-07-29,2,2,0,22,22,22.0,0,1
2016-07-30,2,2,0,133,14,73.5,0,0
2016-07-31,1,1,0,18,18,18.0,0,0
2016-08-01,8,8,0,91,13,51.1,0,0
2016-08-02,4,4,0,84,1,33.8,1,0
2016-08-03,3,3,0,15,2,9.3,0,0
2016-08-05,3,3,0,18,13,15.3,0,0
2016-08-06,2,2,0,66,8,37.0,0,0
2016-08-07,4,4,0,27,25,26.0,0,2
2016-08-08,5,5,0,52,4,32.6,0,2
2016-08-09,3,3,0,174,69,130.7,0,0
2016-08-10,4,4,0,153,1,72.2,0,0
2016-08-11,5,5,0,319,22,146.0,0,0
2016-08-12,2,2,0,19,18,18.5,0,0
2016-08-13,1,1,0,84,84,84.0,1,0
2016-08-15,4,4,0,259,141,178.2,0,1
2016-08-16,7,7,0,162,12,64.1,0,1
2016-08-17,8,8,0,121,14,60.4,0,1
2016-08-18,1,1,0,76,76,76.0,0,1
2016-08-19,7,7,0,125,2,55.7,0,0
2016-08-21,5,5,0,202,14,98.2,0,1
2016-08-22,10,10,0,187,15,67.9,0,0
2016-08-23,8,8,0,177,5,70.4,0,0
2016-08-24,2,2,0,962,252,607.0,0,0
2016-08-25,5,5,0,504,35,151.8,0,0
2016-08-26,10,10,0,79,5,41.0,0,0
2016-08-27,5,5,0,1569,7,509.4,0,0
2016-08-28,4,4,0,121,53,84.2,0,0
2016-08-29,8,8,0,108,4,43.2,0,1
2016-08-30,5,5,0,88,13,43.8,0,0
2016-09-01,3,3,0,106,13,47.0,0,0
2016-09-02,2,2,0,129,92,110.5,0,0
2016-09-05,1,1,0,172,172,172.0,0,0
2016-09-06,1,1,0,691,691,691.0,0,0
2016-09-10,1,1,0,28,28,28.0,0,0
2016-09-11,2,2,0,98,86,92.0,0,0
2016-09-12,3,3,0,115,17,56.0,0,0
2016-09-13,1,1,0,7,7,7.0,0,0
2016-09-14,1,1,0,7,7,7.0,0,0
2016-09-15,1,1,0,9,9,9.0,0,0
2016-09-16,1,1,0,16,16,16.0,0,0
2016-09-18,1,1,0,94,94,94.0,0,0
2016-09-19,5,5,0,183,18,109.0,0,0
2016-09-20,2,2,0,165,96,130.5,0,0
2016-09-23,1,1,0,29,29,29.0,0,0
2016-09-24,2,2,0,82,24,53.0,0,0
2016-09-27,4,4,0,1956,58,546.2,0,0
2016-09-28,1,1,0,205,205,205.0,0,0
2016-09-29,1,1,0,126,126,126.0,0,0
