DATA_INICIO,DATA_FIM,CATEGORIA,LOCAL_INICIO,LOCAL_FIM,DISTANCIA,PROPOSITO,DT_REFE
2016-01-01 21:11:00,01-01-2016 21:17,Negocio,Fort Pierce,Fort Pierce,51,Alimentação,2016-01-01
2016-01-02 01:25:00,01-02-2016 01:37,Negocio,Fort Pierce,Fort Pierce,5,Indefinido,2016-01-02
2016-01-02 20:25:00,01-02-2016 20:38,Negocio,Fort Pierce,Fort Pierce,48,Entregas,2016-01-02
2016-01-05 17:31:00,01-05-2016 17:45,Negocio,Fort Pierce,Fort Pierce,47,Reunião,2016-01-05
2016-01-06 14:42:00,01-06-2016 15:49,Negocio,Fort Pierce,West Palm Beach,637,Visita Ao Cliente,2016-01-06
2016-01-06 17:15:00,01-06-2016 17:19,Negocio,West Palm Beach,West Palm Beach,43,Alimentação,2016-01-06
2016-01-06 17:30:00,01-06-2016 17:35,Negocio,West Palm Beach,Palm Beach,71,Reunião,2016-01-06
2016-01-07 13:27:00,01-07-2016 13:33,Negocio,Cary,Cary,8,Reunião,2016-01-07
2016-01-10 08:05:00,01-10-2016 08:25,Negocio,Cary,Morrisville,83,Reunião,2016-01-10
2016-01-10 12:17:00,01-10-2016 12:44,Negocio,Jamaica,New York,165,Visita Ao Cliente,2016-01-10
2016-01-10 15:08:00,01-10-2016 15:51,Negocio,New York,Queens,108,Reunião,2016-01-10
2016-01-10 18:18:00,01-10-2016 18:53,Negocio,Elmhurst,New York,75,Reunião,2016-01-10
2016-01-10 19:12:00,01-10-2016 19:32,Negocio,Midtown,East Harlem,62,Reunião,2016-01-10
2016-01-11 11:56:00,01-11-2016 12:03,Negocio,Flatiron District,Midtown,16,Entregas,2016-01-11
2016-01-11 13:32:00,01-11-2016 13:46,Negocio,Midtown,Midtown East,17,Alimentação,2016-01-11
2016-01-11 14:30:00,01-11-2016 14:43,Negocio,Midtown East,Midtown,19,Alimentação,2016-01-11
2016-01-12 12:33:00,01-12-2016 12:49,Negocio,Midtown,Hudson Square,19,Alimentação,2016-01-12
2016-01-12 12:53:00,01-12-2016 13:09,Negocio,Hudson Square,Lower Manhattan,4,Alimentação,2016-01-12
2016-01-12 14:42:00,01-12-2016 14:56,Negocio,Lower Manhattan,Hudson Square,18,Entregas,2016-01-12
2016-01-12 15:13:00,01-12-2016 15:28,Negocio,Hudson Square,Hell's Kitchen,24,Visita Ao Cliente,2016-01-12
2016-01-12 15:42:00,01-12-2016 15:54,Negocio,Hell's Kitchen,Midtown,2,Entregas,2016-01-12
2016-01-12 16:02:00,01-12-2016 17:00,Negocio,New York,Queens County,151,Reunião,2016-01-12
2016-01-13 13:54:00,01-13-2016 14:07,Negocio,Downtown,Gulfton,112,Reunião,2016-01-13
2016-01-13 15:00:00,01-13-2016 15:28,Negocio,Gulfton,Downtown,118,Reunião,2016-01-13
2016-01-13 16:29:00,01-13-2016 17:05,Negocio,Houston,Houston,219,Visita Ao Cliente,2016-01-13
2016-01-13 21:39:00,01-13-2016 21:45,Negocio,Eagan Park,Jamestown Court,39,Entregas,2016-01-13
2016-01-15 00:41:00,01-15-2016 1:01,Negocio,Morrisville,Cary,8,Entregas,2016-01-15
2016-01-15 11:43:00,01-15-2016 12:03,Negocio,Cary,Durham,104,Alimentação,2016-01-15
2016-01-15 13:26:00,01-15-2016 13:44,Negocio,Durham,Cary,104,Alimentação,2016-01-15
2016-01-18 14:55:00,01-18-2016 15:06,Negocio,Cary,Cary,48,Alimentação,2016-01-18
2016-01-18 16:13:00,01-18-2016 16:24,Negocio,Farmington Woods,Whitebridge,47,Alimentação,2016-01-18
2016-01-19 09:09:00,01-19-2016 9:23,Negocio,Whitebridge,Lake Wellingborough,72,Indefinido,2016-01-19
2016-01-20 10:36:00,01-20-2016 11:11,Negocio,Cary,Raleigh,171,Reunião,2016-01-20
2016-01-20 11:48:00,01-20-2016 12:19,Negocio,Fayetteville Street,Umstead,151,Reunião,2016-01-20
2016-01-20 13:25:00,01-20-2016 14:19,Negocio,Raleigh,Cary,402,Visita Ao Cliente,2016-01-20
